agency_cd,site_no,datetime,tz_cd,211999_00060,211999_00060_cd
USGS,09238900,2020-07-15 00:00,MDT,16.9,A
USGS,09238900,2020-07-15 00:15,MDT,16.5,A
USGS,09238900,2020-07-15 00:30,MDT,16.9,A
USGS,09238900,2020-07-15 00:45,MDT,17.4,A
USGS,09238900,2020-07-15 01:00,MDT,17.4,A
USGS,09238900,2020-07-15 01:15,MDT,16.1,A
USGS,09238900,2020-07-15 01:30,MDT,17.4,A
USGS,09238900,2020-07-15 01:45,MDT,17.4,A
USGS,09238900,2020-07-15 02:00,MDT,17.4,A
USGS,09238900,2020-07-15 02:15,MDT,16.5,A
USGS,09238900,2020-07-15 02:30,MDT,16.1,A
USGS,09238900,2020-07-15 02:45,MDT,16.1,A
USGS,09238900,2020-07-15 03:00,MDT,18.2,A
USGS,09238900,2020-07-15 03:15,MDT,16.9,A
USGS,09238900,2020-07-15 03:30,MDT,17.4,A
USGS,09238900,2020-07-15 03:45,MDT,16.9,A
USGS,09238900,2020-07-15 04:00,MDT,16.9,A
USGS,09238900,2020-07-15 04:15,MDT,16.1,A
USGS,09238900,2020-07-15 04:30,MDT,14.5,A
USGS,09238900,2020-07-15 04:45,MDT,15.7,A
USGS,09238900,2020-07-15 05:00,MDT,15.7,A
USGS,09238900,2020-07-15 05:15,MDT,15.7,A
USGS,09238900,2020-07-15 05:30,MDT,16.1,A
USGS,09238900,2020-07-15 05:45,MDT,16.9,A
USGS,09238900,2020-07-15 06:00,MDT,16.1,A
USGS,09238900,2020-07-15 06:15,MDT,16.9,A
USGS,09238900,2020-07-15 06:30,MDT,16.9,A
USGS,09238900,2020-07-15 06:45,MDT,16.5,A
USGS,09238900,2020-07-15 07:00,MDT,16.5,A
USGS,09238900,2020-07-15 07:15,MDT,16.9,A
USGS,09238900,2020-07-15 07:30,MDT,15.7,A
USGS,09238900,2020-07-15 07:45,MDT,16.1,A
USGS,09238900,2020-07-15 08:00,MDT,17.4,A
USGS,09238900,2020-07-15 08:15,MDT,15.3,A
USGS,09238900,2020-07-15 08:30,MDT,17.4,A
USGS,09238900,2020-07-15 08:45,MDT,16.1,A
USGS,09238900,2020-07-15 09:00,MDT,16.9,A
USGS,09238900,2020-07-15 09:15,MDT,16.9,A
USGS,09238900,2020-07-15 09:30,MDT,16.9,A
USGS,09238900,2020-07-15 09:45,MDT,16.1,A
USGS,09238900,2020-07-15 10:00,MDT,16.5,A
USGS,09238900,2020-07-15 10:15,MDT,16.9,A
USGS,09238900,2020-07-15 10:30,MDT,17.4,A
USGS,09238900,2020-07-15 10:45,MDT,16.1,A
USGS,09238900,2020-07-15 11:00,MDT,16.9,A
USGS,09238900,2020-07-15 11:15,MDT,17.8,A
USGS,09238900,2020-07-15 11:30,MDT,17.4,A
USGS,09238900,2020-07-15 11:45,MDT,17.8,A
USGS,09238900,2020-07-15 12:00,MDT,21.5,A
USGS,09238900,2020-07-15 12:15,MDT,22.5,A
USGS,09238900,2020-07-15 12:30,MDT,22.0,A
USGS,09238900,2020-07-15 12:45,MDT,22.0,A
USGS,09238900,2020-07-15 13:00,MDT,22.0,A
USGS,09238900,2020-07-15 13:15,MDT,22.0,A
USGS,09238900,2020-07-15 13:30,MDT,21.5,A
USGS,09238900,2020-07-15 13:45,MDT,22.0,A
USGS,09238900,2020-07-15 14:00,MDT,22.0,A
USGS,09238900,2020-07-15 14:15,MDT,22.0,A
USGS,09238900,2020-07-15 14:30,MDT,23.0,A
USGS,09238900,2020-07-15 14:45,MDT,22.0,A
USGS,09238900,2020-07-15 15:00,MDT,22.0,A
USGS,09238900,2020-07-15 15:15,MDT,22.0,A
USGS,09238900,2020-07-15 15:30,MDT,22.0,A
USGS,09238900,2020-07-15 15:45,MDT,18.2,A
USGS,09238900,2020-07-15 16:00,MDT,17.4,A
USGS,09238900,2020-07-15 16:15,MDT,17.4,A
USGS,09238900,2020-07-15 16:30,MDT,16.5,A
USGS,09238900,2020-07-15 16:45,MDT,16.1,A
USGS,09238900,2020-07-15 17:00,MDT,15.3,A
USGS,09238900,2020-07-15 17:15,MDT,16.5,A
USGS,09238900,2020-07-15 17:30,MDT,16.1,A
USGS,09238900,2020-07-15 17:45,MDT,16.1,A
USGS,09238900,2020-07-15 18:00,MDT,16.1,A
USGS,09238900,2020-07-15 18:15,MDT,16.1,A
USGS,09238900,2020-07-15 18:30,MDT,16.5,A
USGS,09238900,2020-07-15 18:45,MDT,16.5,A
USGS,09238900,2020-07-15 19:00,MDT,15.3,A
USGS,09238900,2020-07-15 19:15,MDT,16.9,A
USGS,09238900,2020-07-15 19:30,MDT,16.5,A
USGS,09238900,2020-07-15 19:45,MDT,17.4,A
